codice_comune,anno,totale_incidenti
1001,2001,5
1001,2002,5
1001,2003,4
1001,2004,9
1001,2005,2
1001,2006,1
1001,2007,8
1001,2008,5
1001,2009,4
1001,2010,7
1001,2011,4
1001,2012,3
1001,2013,4
1001,2014,6
1001,2015,5
1001,2016,5
1001,2017,0
1001,2018,1
1001,2019,3
1001,2020,4
1001,2021,2
1001,2022,3
1001,2023,3
1001,2024,2
1002,2001,25
1002,2002,23
1002,2003,10
1002,2004,21
1002,2005,19
1002,2006,12
1002,2007,11
1002,2008,13
1002,2009,8
1002,2010,10
1002,2011,8
1002,2012,11
1002,2013,10
1002,2014,8
1002,2015,11
1002,2016,7
1002,2017,10
1002,2018,9
1002,2019,6
1002,2020,8
1002,2021,6
1002,2022,4
1002,2023,7
1002,2024,5
1003,2001,0
1003,2002,0
1003,2003,0
1003,2004,0
1003,2005,0
1003,2006,0
1003,2007,0
1003,2008,0
1003,2009,1
1003,2010,0
1003,2011,0
1003,2012,0
1003,2013,0
1003,2014,1
1003,2015,0
1003,2016,1
1003,2017,0
1003,2018,1
1003,2019,0
1003,2020,0
1003,2021,0
1003,2022,0
1003,2023,1
1003,2024,1
1004,2001,5
1004,2002,8
1004,2003,8
1004,2004,6
1004,2005,4
1004,2006,4
1004,2007,9
1004,2008,2
1004,2009,5
1004,2010,6
1004,2011,3
1004,2012,2
1004,2013,1
1004,2014,5
1004,2015,5
1004,2016,2
1004,2017,8
1004,2018,6
1004,2019,3
1004,2020,3
1004,2021,2
1004,2022,4
1004,2023,2
1004,2024,4
1005,2001,3
1005,2002,1
1005,2003,1
1005,2004,2
1005,2005,0
1005,2006,1
1005,2007,2
1005,2008,0
1005,2009,1
1005,2010,3
1005,2011,1
1005,2012,0
1005,2013,1
1005,2014,2
1005,2015,1
1005,2016,0
1005,2017,2
1005,2018,0
1006,2001,7
1006,2002,5
1006,2003,6
1006,2004,1
1006,2005,8
1006,2006,7
1006,2007,12
1006,2008,1
1006,2009,5
1006,2010,5
1006,2011,5
1006,2012,6
1006,2013,9
1006,2014,5
1006,2015,5
1006,2016,5
1006,2017,3
1006,2018,7
1006,2019,4
1006,2020,6
1006,2021,3
1006,2022,8
1006,2023,2
1006,2024,2
1007,2001,0
1007,2002,0
1007,2003,0
1007,2004,1
1007,2005,0
1007,2006,1
1007,2007,0
1007,2008,0
1007,2009,0
1007,2010,2
1007,2011,0
1007,2012,0
1007,2013,0
1007,2014,0
1007,2015,0
1007,2016,1
1007,2017,0
1007,2018,0
1007,2019,0
1007,2020,1
1007,2021,0
1007,2022,0
1007,2023,1
1008,2001,45
1008,2002,43
1008,2003,39
1008,2004,41
1008,2005,48
1008,2006,39
1008,2007,50
1008,2008,29
1008,2009,28
1008,2010,19
1008,2011,28
1008,2012,35
1008,2013,34
1008,2014,39
1008,2015,37
1008,2016,23
1008,2017,32
1008,2018,26
1008,2019,22
1008,2020,18
1008,2021,30
1008,2022,23
1008,2023,27
1008,2024,20
1009,2001,3
1009,2002,4
1009,2003,1
1009,2004,4
1009,2005,2
1009,2006,2
1009,2007,4
1009,2008,2
1009,2009,2
1009,2010,3
1009,2011,5
1009,2012,1
1009,2013,0
1009,2014,2
